Gaji,Tabungan Lama,Investasi,Pemasukan Lainnya,Tipe,Bahan Pokok,Protein & Gizi Tambahan,Tempat Tinggal,Sandang,Konsumsi Praktis,Barang & Jasa Sekunder,Pengeluaran Tidak Esensial,Pajak,Asuransi,Sosial & Budaya,Tabungan / Investasi
24333000.0,1629000.0,7891000.0,3861000.0,normal,3694000.0,3570000.0,10682000.0,994000.0,5563000.0,5140000.0,1282000.0,876000.0,528000.0,458000.0,4950000.0
3535000.0,733000.0,785000.0,659000.0,hemat,383000.0,994000.0,1432000.0,134000.0,438000.0,475000.0,230000.0,159000.0,263000.0,174000.0,1062000.0
65000000.0,9642000.0,13643000.0,10842000.0,hemat,7849000.0,13081000.0,24853000.0,1810000.0,3819000.0,6465000.0,2545000.0,4910000.0,3580000.0,4686000.0,24775000.0
54676000.0,5037000.0,18466000.0,4826000.0,normal,5367000.0,13703000.0,16628000.0,2746000.0,8826000.0,11029000.0,3489000.0,2308000.0,2015000.0,1759000.0,14771000.0
24298000.0,4665000.0,4964000.0,2649000.0,boros,2169000.0,5477000.0,7866000.0,366000.0,8454000.0,6060000.0,2956000.0,277000.0,285000.0,438000.0,2300000.0
21742000.0,5418000.0,8382000.0,4411000.0,boros,2503000.0,3974000.0,9262000.0,541000.0,10180000.0,7948000.0,2284000.0,397000.0,271000.0,294000.0,1950000.0
23027000.0,3936000.0,6620000.0,4738000.0,boros,2377000.0,5414000.0,9686000.0,527000.0,6999000.0,5923000.0,1865000.0,545000.0,915000.0,720000.0,3326000.0
44138000.0,4787000.0,11652000.0,5849000.0,hemat,4384000.0,9203000.0,16076000.0,1423000.0,5985000.0,6867000.0,2689000.0,2749000.0,2140000.0,1978000.0,12966000.0
21008000.0,2899000.0,7547000.0,4441000.0,normal,3091000.0,5275000.0,8347000.0,1245000.0,3571000.0,5623000.0,1955000.0,910000.0,772000.0,239000.0,4973000.0
15039000.0,2132000.0,2960000.0,2785000.0,hemat,1509000.0,4037000.0,5454000.0,554000.0,2507000.0,2508000.0,614000.0,614000.0,802000.0,308000.0,3840000.0
15801000.0,2177000.0,6328000.0,4081000.0,boros,1729000.0,3003000.0,6423000.0,302000.0,6066000.0,6941000.0,2073000.0,109000.0,160000.0,130000.0,1249000.0
42220000.0,13582000.0,12733000.0,11849000.0,hemat,4926000.0,13151000.0,19945000.0,693000.0,6353000.0,8026000.0,2591000.0,3556000.0,1891000.0,1779000.0,17103000.0
7326000.0,641000.0,2207000.0,1916000.0,hemat,1300000.0,1705000.0,3328000.0,150000.0,790000.0,1269000.0,443000.0,220000.0,198000.0,434000.0,2253000.0
27820000.0,2798000.0,8388000.0,4819000.0,boros,4520000.0,5798000.0,12284000.0,1138000.0,5117000.0,10187000.0,999000.0,387000.0,711000.0,349000.0,2911000.0
24425000.0,5320000.0,4924000.0,6216000.0,boros,2544000.0,4914000.0,7430000.0,877000.0,9094000.0,8425000.0,4079000.0,274000.0,301000.0,286000.0,2468000.0
32427000.0,4617000.0,9980000.0,9896000.0,boros,3699000.0,5687000.0,16726000.0,1974000.0,9623000.0,11187000.0,3020000.0,574000.0,686000.0,289000.0,3222000.0
5158000.0,736000.0,824000.0,1188000.0,boros,632000.0,668000.0,1538000.0,126000.0,1473000.0,1855000.0,756000.0,113000.0,89000.0,116000.0,558000.0
3596000.0,214000.0,1219000.0,297000.0,normal,343000.0,658000.0,1220000.0,56000.0,1149000.0,735000.0,201000.0,117000.0,141000.0,69000.0,608000.0
45265000.0,9024000.0,8840000.0,6861000.0,normal,3554000.0,11347000.0,17630000.0,967000.0,9452000.0,12298000.0,1948000.0,825000.0,1510000.0,2162000.0,8604000.0
